Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2260656,22/03/2022,Kansas,Overland Park,7401 Johnson Dr,Shawnee Mission North High School,0,0,0,0,1
2260506,22/03/2022,New York,Bronx,1594 Bathgate Ave,Bathgate High School,0,0,0,0,2
2263919,22/03/2022,Louisiana,Baton Rouge,Elton C Harrison Dr,Southern University/US Jones dorm,0,0,0,0,1
2267270,22/03/2022,Virginia,Roanoke,Loudon Ave NW,N/A,0,0,0,0,0
2267073,23/03/2022,Arizona,Kingman,W Beale St and Grandview Ave,N/A,0,1,0,0,0
2261465,23/03/2022,Tennessee,Mount Juliet,1875 Golden Bear Gateway,Mt. Juliet High School,0,0,0,0,1
2261867,23/03/2022,Texas,Bowie,800 N Mill St,Bowie Intermediate School,0,0,0,0,1
2263264,23/03/2022,Texas,Paris,3250 S Church St,Chisum High School,0,0,0,0,0
2262108,24/03/2022,Maryland,Baltimore,2801 N Dukeland St,ConneXions: A Community Based Arts School,0,0,0,0,1
2262413,24/03/2022,Virginia,Woodbridge,15101 Blackburn Rd,Rippon Middle School,0,0,0,0,1
2262374,24/03/2022,Virginia,Lynchburg,591 12th St,LCS Empowerment Academy,0,0,0,0,1
2263622,25/03/2022,Virginia,Petersburg,3101 Johnson Rd,Petersburg High School,0,0,0,0,1
2263284,25/03/2022,Kentucky,Louisville,10200 Dixie Hwy,Valley High School,0,0,0,0,0
2263578,26/03/2022,Wisconsin,Milwaukee,1500 block of W Kilbourn Ave,Marquette University,0,1,0,0,0
2265991,28/03/2022,Texas,Fort Worth,9100 S Hulen St,North Crowley High School,0,0,0,0,0
2265149,28/03/2022,Tennessee,Nashville,110 Gallatin Ave,East Nashville High School,0,0,0,0,1
2265938,28/03/2022,Texas,Brenham,525 A H Ehrig Dr,Brenham High School,0,0,0,0,0
2265887,28/03/2022,Massachusetts,Boston,36 Winthrop St,Dearborn STEM Academy,0,0,0,0,1
2267316,28/03/2022,Colorado,Pueblo,4202 CO-78,Roncalli STEM Academy,0,0,0,0,1
2266894,28/03/2022,Missouri,Saint Peters,100 Dubray Dr,DuBray Middle School,0,0,0,0,0
2265263,28/03/2022,North Carolina,Charlotte,1825 Oakdale Rd,Oakdale Elementary School,0,2,0,0,1
2265745,29/03/2022,Michigan,Coopersville,198 East St,Coopersville High School,0,0,0,0,0
2266256,29/03/2022,Nevada,Las Vegas,4601 W Bonanza Rd,Western High School,0,0,0,2,0
2265713,29/03/2022,Illinois,Rockford,605 New England Rd,Guilford High School,0,0,0,0,0
2265705,29/03/2022,Illinois,Chicago,4316 S Princeton Ave,Thomas A Hendricks Community School,0,1,0,0,0
2267265,29/03/2022,Virginia,Appomattox,198 Evergreen Ave,Appomattox County High School,0,0,0,0,2
2266010,29/03/2022,Virginia,Roanoke,1220 5th St NW,Lucy Addison Middle School,0,0,0,0,1
2266525,30/03/2022,Connecticut,New Fairfield,12 Gillotti Rd,Consolidated School,0,0,0,0,1
2266586,30/03/2022,Georgia,Atlanta,45 Whitehouse Dr SW,Booker T. Washington High School,0,0,0,1,0
2266969,31/03/2022,Pennsylvania,Philadelphia,6701 Callowhill St,West Philadelphia Achievement Charter Elementary,0,0,0,0,1
